,date,num_applications,year,day_of_week,month,week,num_applications_year,weighted_num_applications
0,2007-01-04,5,2007,Thursday,1,1,10322,0.000484402247626429
1,2007-01-05,1,2007,Friday,1,1,10322,9.688044952528579e-05
2,2007-01-07,1,2007,Sunday,1,1,10322,9.688044952528579e-05
3,2007-01-08,1,2007,Monday,1,2,10322,9.688044952528579e-05
4,2007-01-10,1,2007,Wednesday,1,2,10322,9.688044952528579e-05
5,2007-01-11,1,2007,Thursday,1,2,10322,9.688044952528579e-05
6,2007-01-17,1,2007,Wednesday,1,3,10322,9.688044952528579e-05
7,2007-01-19,1,2007,Friday,1,3,10322,9.688044952528579e-05
8,2007-01-22,1,2007,Monday,1,4,10322,9.688044952528579e-05
9,2007-01-23,1,2007,Tuesday,1,4,10322,9.688044952528579e-05
10,2007-01-28,1,2007,Sunday,1,4,10322,9.688044952528579e-05
11,2007-02-03,1,2007,Saturday,2,5,10322,9.688044952528579e-05
12,2007-02-05,1,2007,Monday,2,6,10322,9.688044952528579e-05
13,2007-02-06,6,2007,Tuesday,2,6,10322,0.0005812826971517147
14,2007-03-04,16,2007,Sunday,3,9,10322,0.0015500871924045726
15,2007-03-06,12,2007,Tuesday,3,10,10322,0.0011625653943034295
16,2007-03-07,25,2007,Wednesday,3,10,10322,0.002422011238132145
17,2007-03-08,16,2007,Thursday,3,10,10322,0.0015500871924045726
18,2007-03-09,29,2007,Friday,3,10,10322,0.002809533036233288
19,2007-03-11,17,2007,Sunday,3,10,10322,0.0016469676419298585
20,2007-03-12,33,2007,Monday,3,11,10322,0.0031970548343344314
21,2007-03-13,10,2007,Tuesday,3,11,10322,0.000968804495252858
22,2007-03-14,12,2007,Wednesday,3,11,10322,0.0011625653943034295
23,2007-03-21,32,2007,Wednesday,3,12,10322,0.0031001743848091453
24,2007-03-23,17,2007,Friday,3,12,10322,0.0016469676419298585
25,2007-03-24,14,2007,Saturday,3,12,10322,0.0013563262933540012
26,2007-03-28,37,2007,Wednesday,3,13,10322,0.0035845766324355743
27,2007-03-29,29,2007,Thursday,3,13,10322,0.002809533036233288
28,2007-03-30,37,2007,Friday,3,13,10322,0.0035845766324355743
29,2007-03-31,42,2007,Saturday,3,13,10322,0.004068978880062003
30,2007-04-06,51,2007,Friday,4,14,10322,0.004940902925789576
31,2007-04-12,58,2007,Thursday,4,15,10322,0.005619066072466576
32,2007-04-14,39,2007,Saturday,4,15,10322,0.003778337531486146
33,2007-04-18,49,2007,Wednesday,4,16,10322,0.0047471420267390044
34,2007-04-19,155,2007,Thursday,4,16,10322,0.015016469676419298
35,2007-04-20,45,2007,Friday,4,16,10322,0.004359620228637861
36,2007-04-22,32,2007,Sunday,4,16,10322,0.0031001743848091453
37,2007-04-26,34,2007,Thursday,4,17,10322,0.003293935283859717
38,2007-04-28,19,2007,Saturday,4,17,10322,0.0018407285409804302
39,2007-04-30,43,2007,Monday,4,18,10322,0.004165859329587289
40,2007-05-03,179,2007,Thursday,5,18,10322,0.01734160046502616
41,2007-05-04,44,2007,Friday,5,18,10322,0.0042627397791125754
42,2007-05-10,32,2007,Thursday,5,19,10322,0.0031001743848091453
43,2007-05-12,154,2007,Saturday,5,19,10322,0.014919589226894013
44,2007-05-14,29,2007,Monday,5,20,10322,0.002809533036233288
45,2007-05-16,172,2007,Wednesday,5,20,10322,0.016663437318349156
46,2007-05-18,135,2007,Friday,5,20,10322,0.013078860685913582
47,2007-05-19,119,2007,Saturday,5,20,10322,0.01152877349350901
48,2007-05-20,20,2007,Sunday,5,20,10322,0.001937608990505716
49,2007-05-22,23,2007,Tuesday,5,21,10322,0.0022282503390815733
50,2007-05-24,160,2007,Thursday,5,21,10322,0.015500871924045728
51,2007-05-26,9,2007,Saturday,5,21,10322,0.0008719240457275722
52,2007-05-28,22,2007,Monday,5,22,10322,0.0021313698895562877
