"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-01","54"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-02","54"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-03","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-04","63"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-05","68"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-06","65"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-07","65"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-08","72"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-09","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-10","74"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-11","70"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-12","65"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-13","63"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-14","59"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-15","61"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-16","68"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-17","72"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-18","67"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-19","67"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-20","63"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-21","67"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-22","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-23","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-24","55"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-25","68"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-26","71"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-27","70"
"USC00026471","PHANTOM RANCH, AZ US","2007-02-28","45"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-01","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-02","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-03","58"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-04","66"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-05","72"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-06","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-07","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-08","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-09","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-10","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-11","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-12","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-13","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-14","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-15","88"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-16","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-17","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-18","92"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-19","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-20","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-21","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-22","74"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-23","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-24","71"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-25","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-26","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-27","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-28","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-29","62"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-30","67"
"USC00026471","PHANTOM RANCH, AZ US","2007-03-31","79"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-01","88"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-02","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-03","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-04","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-05","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-06","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-07","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-08","87"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-09","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-10","76"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-11","75"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-12","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-13","74"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-14","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-15","77"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-16",
"USC00026471","PHANTOM RANCH, AZ US","2007-04-17","84"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-18","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-19","74"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-20","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-21","72"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-22","73"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-23","65"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-24","78"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-25","85"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-26","87"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-27","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-28","97"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-29","97"
"USC00026471","PHANTOM RANCH, AZ US","2007-04-30","97"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-01","86"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-02","90"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-03","82"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-04","78"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-05","68"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-06","77"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-07","81"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-08","88"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-09","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-10","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-11","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-12","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-13","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-14","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-15","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-16","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-05-17","97"
